<TICKER>,<DATE>,<CLOSE>
MGT,2005-06-08,8.3393
MGT,2005-06-09,8.2608
MGT,2005-06-10,8.0245
MGT,2005-06-13,7.946
MGT,2005-06-14,7.7099
MGT,2005-06-15,7.8279
MGT,2005-06-16,7.8279
MGT,2005-06-20,7.631
MGT,2005-06-21,7.513
MGT,2005-06-22,7.7884
MGT,2005-06-23,7.6704
MGT,2005-06-24,7.7487
MGT,2005-06-27,7.4736
MGT,2005-06-28,7.7099
MGT,2005-06-29,7.7884
MGT,2005-06-30,7.7884
MGT,2005-07-01,7.7884
MGT,2005-07-05,7.5917
MGT,2005-07-06,7.631
MGT,2005-07-07,7.631
MGT,2005-07-08,7.4736
MGT,2005-07-11,7.5523
MGT,2005-07-12,7.631
MGT,2005-07-13,8.1815
MGT,2005-07-14,7.7884
MGT,2005-07-15,7.7884
MGT,2005-07-18,7.7487
MGT,2005-07-19,7.7884
MGT,2005-07-20,7.631
MGT,2005-07-21,7.8279
MGT,2005-07-22,7.7099
MGT,2005-07-25,7.7099
MGT,2005-07-26,8.103
MGT,2005-07-27,8.8894
MGT,2005-07-28,8.7326
MGT,2005-07-29,8.9679
MGT,2005-08-01,8.9679
MGT,2005-08-02,9.3618
MGT,2005-08-03,9.3618
MGT,2005-08-04,10.149
MGT,2005-08-05,10.031
MGT,2005-08-08,10.227
MGT,2005-08-09,10.227
MGT,2005-08-10,10.149
MGT,2005-08-11,9.952
MGT,2005-08-12,9.991
MGT,2005-08-16,10.149
MGT,2005-08-17,9.991
MGT,2005-08-18,9.873
MGT,2005-08-19,9.834
MGT,2005-08-23,9.558
MGT,2005-08-24,9.756
MGT,2005-08-25,9.715
MGT,2005-08-26,9.598
MGT,2005-08-29,9.3232
MGT,2005-08-30,9.3618
MGT,2005-08-31,9.4005
MGT,2005-09-01,9.637
MGT,2005-09-02,9.244
MGT,2005-09-05,9.2827
MGT,2005-09-06,9.3618
MGT,2005-09-07,9.441
MGT,2005-09-08,9.834
MGT,2005-09-09,9.834
MGT,2005-09-12,9.794
MGT,2005-09-13,9.794
MGT,2005-09-14,9.756
MGT,2005-09-15,9.677
MGT,2005-09-16,9.834
MGT,2005-09-19,9.598
MGT,2005-09-20,9.677
MGT,2005-09-21,9.756
MGT,2005-09-22,10.031
MGT,2005-09-23,10.542
MGT,2005-09-26,10.542
MGT,2005-09-27,10.621
MGT,2005-09-28,10.463
MGT,2005-09-29,10.463
MGT,2005-09-30,10.305
MGT,2005-10-03,10.542
MGT,2005-10-04,11.093
MGT,2005-10-05,11.015
MGT,2005-10-06,10.935
MGT,2005-10-07,10.856
MGT,2005-10-10,11.015
MGT,2005-10-11,10.778
MGT,2005-10-12,11.604
MGT,2005-10-13,11.407
MGT,2005-10-14,11.25
MGT,2005-10-17,12.036
MGT,2005-10-18,12.587
MGT,2005-10-19,12.036
MGT,2005-10-20,12.469
MGT,2005-10-21,12.509
MGT,2005-10-24,12.312
MGT,2005-10-25,11.918
MGT,2005-10-26,12.036
MGT,2005-10-27,12.312
MGT,2005-10-28,12.194
MGT,2005-10-31,12.076
MGT,2005-11-02,12.154
MGT,2005-11-03,11.998
MGT,2005-11-04,12.154
MGT,2005-11-07,11.88
MGT,2005-11-08,11.958
MGT,2005-11-09,11.801
MGT,2005-11-10,11.565
MGT,2005-11-14,11.329
MGT,2005-11-15,10.935
MGT,2005-11-16,10.856
MGT,2005-11-17,11.25
MGT,2005-11-18,11.721
MGT,2005-11-21,11.407
MGT,2005-11-22,11.721
MGT,2005-11-23,11.485
MGT,2005-11-24,11.721
MGT,2005-11-25,11.721
MGT,2005-11-28,11.565
MGT,2005-11-29,11.485
MGT,2005-11-30,11.485
MGT,2005-12-01,11.329
MGT,2005-12-02,11.015
MGT,2005-12-05,10.503
MGT,2005-12-06,10.542
MGT,2005-12-07,10.817
MGT,2005-12-08,11.25
MGT,2005-12-09,11.211
MGT,2005-12-12,11.25
MGT,2005-12-13,11.171
MGT,2005-12-14,10.856
MGT,2005-12-15,10.974
MGT,2005-12-16,11.015
MGT,2005-12-19,10.778
MGT,2005-12-20,10.778
MGT,2005-12-21,11.171
MGT,2005-12-22,11.329
MGT,2005-12-23,12.036
MGT,2005-12-27,11.958
MGT,2005-12-28,12.39
MGT,2005-12-29,13.059
MGT,2005-12-30,13.138
MGT,2006-01-02,13.532
MGT,2006-01-03,13.61
MGT,2006-01-04,13.374
MGT,2006-01-05,13.217
MGT,2006-01-06,13.728
MGT,2006-01-09,13.532
MGT,2006-01-10,13.178
MGT,2006-01-11,13.059
MGT,2006-01-12,13.295
MGT,2006-01-13,13.335
MGT,2006-01-16,13.374
MGT,2006-01-17,13.374
MGT,2006-01-18,13.217
MGT,2006-01-19,13.217
MGT,2006-01-20,13.374
MGT,2006-01-23,13.768
MGT,2006-01-24,13.61
MGT,2006-01-25,13.61
MGT,2006-01-26,14.16
MGT,2006-01-27,13.964
MGT,2006-01-30,13.689
MGT,2006-01-31,13.689
MGT,2006-02-01,14.201
MGT,2006-02-02,14.16
MGT,2006-02-03,14.869
MGT,2006-02-06,16.285
MGT,2006-02-07,16.442
MGT,2006-02-08,15.969
MGT,2006-02-09,15.498
MGT,2006-02-10,15.891
MGT,2006-02-13,15.735
MGT,2006-02-14,15.891
MGT,2006-02-15,16.128
MGT,2006-02-16,16.128
MGT,2006-02-17,15.969
MGT,2006-02-20,15.655
MGT,2006-02-21,15.498
MGT,2006-02-22,15.735
MGT,2006-02-23,15.655
MGT,2006-02-24,15.813
MGT,2006-02-27,16.285
MGT,2006-02-28,16.206
MGT,2006-03-01,15.969
MGT,2006-03-02,16.285
MGT,2006-03-03,16.6
MGT,2006-03-06,17.544
MGT,2006-03-07,16.6
MGT,2006-03-08,16.521
MGT,2006-03-09,16.6
MGT,2006-03-10,16.442
MGT,2006-03-13,16.285
MGT,2006-03-14,15.891
MGT,2006-03-15,16.128
MGT,2006-03-16,16.128
MGT,2006-03-17,16.128
MGT,2006-03-20,16.049
MGT,2006-03-21,16.206
MGT,2006-03-22,16.993
MGT,2006-03-23,17.307
MGT,2006-03-24,17.307
MGT,2006-03-27,17.387
MGT,2006-03-28,17.307
MGT,2006-03-29,17.622
MGT,2006-03-30,17.701
MGT,2006-03-31,17.701
MGT,2006-04-03,17.937
MGT,2006-04-04,17.465
MGT,2006-04-05,17.701
MGT,2006-04-06,18.252
MGT,2006-04-07,18.409
MGT,2006-04-10,18.487
MGT,2006-04-11,18.487
MGT,2006-04-12,18.094
MGT,2006-04-13,17.937
MGT,2006-04-18,18.33
MGT,2006-04-19,18.487
MGT,2006-04-20,18.644
MGT,2006-04-21,18.566
MGT,2006-04-24,18.016
MGT,2006-04-25,17.779
MGT,2006-04-26,17.701
MGT,2006-04-27,17.544
MGT,2006-04-28,16.914
MGT,2006-05-02,16.993
MGT,2006-05-04,17.307
MGT,2006-05-05,17.544
MGT,2006-05-08,17.465
MGT,2006-05-09,17.387
MGT,2006-05-10,17.307
MGT,2006-05-11,17.701
MGT,2006-05-12,17.622
MGT,2006-05-15,17.071
MGT,2006-05-16,17.465
MGT,2006-05-17,17.465
MGT,2006-05-18,17.307
MGT,2006-05-19,16.993
MGT,2006-05-22,15.969
MGT,2006-05-23,15.655
MGT,2006-05-24,15.459
MGT,2006-05-25,15.302
MGT,2006-05-26,15.302
MGT,2006-05-29,15.341
MGT,2006-05-31,15.42
MGT,2006-06-01,15.341
MGT,2006-06-02,15.576
MGT,2006-06-05,15.655
MGT,2006-06-06,15.655
MGT,2006-06-07,15.576
MGT,2006-06-08,15.38
MGT,2006-06-09,15.498
MGT,2006-06-12,15.066
MGT,2006-06-13,13.925
MGT,2006-06-14,14.515
MGT,2006-06-16,15.066
MGT,2006-06-19,14.79
MGT,2006-06-20,14.829
MGT,2006-06-21,14.633
MGT,2006-06-22,14.279
MGT,2006-06-23,14.515
MGT,2006-06-26,14.515
MGT,2006-06-27,14.79
MGT,2006-06-28,15.341
MGT,2006-06-29,15.42
MGT,2006-06-30,15.735
MGT,2006-07-03,15.576
MGT,2006-07-04,15.537
MGT,2006-07-05,15.891
MGT,2006-07-06,15.813
MGT,2006-07-07,16.049
MGT,2006-07-10,15.735
MGT,2006-07-11,15.735
MGT,2006-07-12,15.891
MGT,2006-07-13,15.735
MGT,2006-07-14,15.813
MGT,2006-07-17,15.969
MGT,2006-07-18,16.049
MGT,2006-07-19,16.206
MGT,2006-07-20,16.521
MGT,2006-07-21,15.813
MGT,2006-07-25,16.128
MGT,2006-07-26,16.442
MGT,2006-07-28,15.891
MGT,2006-07-31,15.891
MGT,2006-08-01,15.891
MGT,2006-08-02,16.049
MGT,2006-08-03,15.735
MGT,2006-08-04,15.969
MGT,2006-08-07,15.969
MGT,2006-08-09,15.735
MGT,2006-08-10,15.813
MGT,2006-08-14,15.813
MGT,2006-08-17,15.735
MGT,2006-08-18,15.735
MGT,2006-08-21,15.735
MGT,2006-08-22,15.735
MGT,2006-08-23,15.38
MGT,2006-08-24,15.735
MGT,2006-08-25,15.735
MGT,2006-08-28,15.813
MGT,2006-08-29,15.813
MGT,2006-08-30,15.735
MGT,2006-08-31,15.735
MGT,2006-09-01,15.735
MGT,2006-09-04,15.735
MGT,2006-09-05,15.813
MGT,2006-09-06,15.735
MGT,2006-09-07,15.813
MGT,2006-09-08,15.813
MGT,2006-09-11,15.42
MGT,2006-09-12,15.576
MGT,2006-09-13,15.576
MGT,2006-09-14,15.576
MGT,2006-09-15,15.735
MGT,2006-09-18,15.364
MGT,2006-09-19,15.735
MGT,2006-09-21,15.813
MGT,2006-09-25,15.742
MGT,2006-09-26,16.521
MGT,2006-09-27,17.071
MGT,2006-09-28,17.071
MGT,2006-09-29,17.071
MGT,2006-10-03,16.914
MGT,2006-10-04,16.875
MGT,2006-10-05,16.537
MGT,2006-10-06,16.364
MGT,2006-10-09,16.835
MGT,2006-10-10,16.804
MGT,2006-10-11,16.757
MGT,2006-10-12,16.717
MGT,2006-10-13,16.797
MGT,2006-10-16,16.206
MGT,2006-10-17,16.6
MGT,2006-10-18,16.521
MGT,2006-10-19,16.521
MGT,2006-10-20,16.75
MGT,2006-10-23,17.387
MGT,2006-10-24,18.094
MGT,2006-10-25,18.094
MGT,2006-10-26,18.481
MGT,2006-10-27,16.521
MGT,2006-10-30,16.119
MGT,2006-10-31,16.364
MGT,2006-11-02,15.735
MGT,2006-11-03,15.726
MGT,2006-11-06,15.498
MGT,2006-11-07,15.655
MGT,2006-11-08,15.963
MGT,2006-11-09,15.891
MGT,2006-11-10,15.735
MGT,2006-11-13,15.576
MGT,2006-11-14,15.357
MGT,2006-11-15,14.948
MGT,2006-11-16,14.948
MGT,2006-11-17,14.939
MGT,2006-11-20,14.948
MGT,2006-11-21,15.569
MGT,2006-11-22,15.529
MGT,2006-11-23,15.655
MGT,2006-11-24,15.648
MGT,2006-11-27,15.498
MGT,2006-11-28,15.498
MGT,2006-11-29,16.285
MGT,2006-11-30,16.285
MGT,2006-12-01,16.285
MGT,2006-12-04,16.206
MGT,2006-12-05,16.049
MGT,2006-12-06,16.049
MGT,2006-12-07,15.995
MGT,2006-12-08,15.735
MGT,2006-12-11,15.655
MGT,2006-12-12,15.576
MGT,2006-12-13,15.735
MGT,2006-12-14,15.655
MGT,2006-12-15,15.411
MGT,2006-12-18,15.341
MGT,2006-12-19,15.332
MGT,2006-12-20,15.302
MGT,2006-12-21,13.468
MGT,2006-12-22,13.146
MGT,2006-12-27,13.138
MGT,2006-12-28,13.178
MGT,2006-12-29,13.138
MGT,2007-01-02,13.586
MGT,2007-01-03,13.823
MGT,2007-01-04,13.728
MGT,2007-01-05,13.696
MGT,2007-01-08,13.374
MGT,2007-01-09,13.068
MGT,2007-01-10,13.059
MGT,2007-01-11,12.98
MGT,2007-01-12,13.374
MGT,2007-01-15,13.61
MGT,2007-01-16,13.673
MGT,2007-01-17,13.885
MGT,2007-01-18,13.736
MGT,2007-01-19,13.728
MGT,2007-01-22,13.61
MGT,2007-01-23,13.752
MGT,2007-01-24,13.649
MGT,2007-01-25,13.61
MGT,2007-01-26,13.507
MGT,2007-01-29,13.335
MGT,2007-01-30,13.358
MGT,2007-01-31,13.335
MGT,2007-02-01,13.217
MGT,2007-02-02,12.823
MGT,2007-02-05,12.76
MGT,2007-02-06,12.942
MGT,2007-02-07,13.193
MGT,2007-02-08,12.768
MGT,2007-02-09,12.942
MGT,2007-02-12,12.846
MGT,2007-02-13,13.217
MGT,2007-02-14,12.862
MGT,2007-02-15,13.059
MGT,2007-02-16,13.043
MGT,2007-02-19,13.131
MGT,2007-02-20,13.02
MGT,2007-02-21,13.059
MGT,2007-02-22,13.256
MGT,2007-02-23,13.256
MGT,2007-02-26,13.358
MGT,2007-02-27,13.217
MGT,2007-02-28,12.839
MGT,2007-03-01,12.839
MGT,2007-03-02,12.839
MGT,2007-03-05,12.509
MGT,2007-03-06,12.895
MGT,2007-03-07,12.98
MGT,2007-03-08,13.358
MGT,2007-03-09,13.335
MGT,2007-03-12,13.358
MGT,2007-03-13,13.342
MGT,2007-03-14,13.217
MGT,2007-03-15,12.901
MGT,2007-03-16,13.02
MGT,2007-03-19,12.964
MGT,2007-03-20,12.964
MGT,2007-03-21,13.287
MGT,2007-03-22,12.949
MGT,2007-03-23,13.217
MGT,2007-03-26,13.295
MGT,2007-03-27,12.98
MGT,2007-03-28,12.964
MGT,2007-03-29,12.98
MGT,2007-03-30,12.98
MGT,2007-04-02,13.335
MGT,2007-04-03,14.554
MGT,2007-04-04,14.004
MGT,2007-04-05,14.781
MGT,2007-04-10,15.002
MGT,2007-04-11,14.774
MGT,2007-04-12,14.004
MGT,2007-04-13,14.711
MGT,2007-04-16,14.711
MGT,2007-04-17,15.104
MGT,2007-04-18,14.948
MGT,2007-04-19,15.222
MGT,2007-04-20,15.026
MGT,2007-04-23,14.648
MGT,2007-04-24,14.475
MGT,2007-04-25,14.317
MGT,2007-04-26,14.979
MGT,2007-04-27,14.333
MGT,2007-04-30,14.726
MGT,2007-05-02,14.673
MGT,2007-05-04,16.553
MGT,2007-05-07,17.323
MGT,2007-05-08,17.3
MGT,2007-05-09,17.307
MGT,2007-05-10,17.229
MGT,2007-05-11,17.307
MGT,2007-05-14,17.456
MGT,2007-05-15,17.418
MGT,2007-05-16,17.307
MGT,2007-05-17,17.387
MGT,2007-05-18,17.379
MGT,2007-05-21,18.094
MGT,2007-05-22,18.487
MGT,2007-05-23,19.014
MGT,2007-05-24,18.803
MGT,2007-05-25,19.354
MGT,2007-05-28,20.455
MGT,2007-05-29,20.069
MGT,2007-05-30,19.668
MGT,2007-05-31,20.061
MGT,2007-06-01,19.668
MGT,2007-06-04,20.061
MGT,2007-06-05,21.241
MGT,2007-06-06,20.455
MGT,2007-06-08,19.668
MGT,2007-06-11,19.787
MGT,2007-06-12,19.824
MGT,2007-06-13,19.746
MGT,2007-06-14,19.628
MGT,2007-06-15,19.038
MGT,2007-06-18,18.881
MGT,2007-06-19,19.274
MGT,2007-06-20,19.038
MGT,2007-06-21,18.644
MGT,2007-06-22,18.566
MGT,2007-06-25,18.432
MGT,2007-06-26,18.409
MGT,2007-06-27,18.094
MGT,2007-06-28,18.481
MGT,2007-06-29,18.094
MGT,2007-07-02,17.701
MGT,2007-07-03,18.094
MGT,2007-07-04,17.701
MGT,2007-07-05,17.307
MGT,2007-07-06,17.544
MGT,2007-07-09,17.535
MGT,2007-07-10,17.079
MGT,2007-07-11,17.456
MGT,2007-07-12,18.094
MGT,2007-07-13,17.126
MGT,2007-07-16,17.456
MGT,2007-07-17,17.307
MGT,2007-07-18,17.307
MGT,2007-07-19,17.111
MGT,2007-07-20,17.779
MGT,2007-07-23,17.111
MGT,2007-07-24,17.535
MGT,2007-07-25,17.379
MGT,2007-07-26,17.064
MGT,2007-07-27,17.3
MGT,2007-07-30,16.914
MGT,2007-07-31,17.441
MGT,2007-08-03,17.032
MGT,2007-08-06,16.953
MGT,2007-08-07,16.757
MGT,2007-08-08,16.914
MGT,2007-08-09,16.569
MGT,2007-08-10,16.167
MGT,2007-08-13,15.42
MGT,2007-08-14,16.128
MGT,2007-08-16,14.475
MGT,2007-08-17,15.341
MGT,2007-08-20,15.302
MGT,2007-08-21,15.184
MGT,2007-08-22,15.341
MGT,2007-08-23,15.341
MGT,2007-08-24,14.861
MGT,2007-08-27,15.302
MGT,2007-08-28,14.948
MGT,2007-08-29,15.184
MGT,2007-08-30,15.184
MGT,2007-08-31,15.066
MGT,2007-09-03,15.034
MGT,2007-09-04,15.263
MGT,2007-09-05,15.537
MGT,2007-09-06,15.537
MGT,2007-09-07,15.655
MGT,2007-09-10,15.617
MGT,2007-09-11,15.695
MGT,2007-09-12,15.679
MGT,2007-09-14,15.679
MGT,2007-09-17,15.735
MGT,2007-09-18,15.576
MGT,2007-09-19,16.324
MGT,2007-09-20,16.128
MGT,2007-09-21,16.285
MGT,2007-09-24,15.357
MGT,2007-09-25,15.341
MGT,2007-09-26,15.341
MGT,2007-09-27,15.891
MGT,2007-09-28,15.506
MGT,2007-10-01,15.034
MGT,2007-10-02,15.648
MGT,2007-10-03,15.459
MGT,2007-10-04,15.38
MGT,2007-10-05,15.411
MGT,2007-10-08,15.152
MGT,2007-10-09,15.411
MGT,2007-10-10,15.263
MGT,2007-10-11,15.066
MGT,2007-10-12,15.089
MGT,2007-10-15,15.348
MGT,2007-10-16,15.735
MGT,2007-10-17,15.735
MGT,2007-10-18,16.128
MGT,2007-10-19,16.128
MGT,2007-10-22,15.735
MGT,2007-10-23,15.9
MGT,2007-10-24,16.765
MGT,2007-10-25,17.307
MGT,2007-10-26,17.307
MGT,2007-10-29,17.307
MGT,2007-10-30,17.307
MGT,2007-10-31,17.544
MGT,2007-11-02,17.465
MGT,2007-11-05,17.269
MGT,2007-11-06,16.835
MGT,2007-11-07,16.128
MGT,2007-11-08,15.891
MGT,2007-11-09,16.513
MGT,2007-11-12,15.104
MGT,2007-11-13,15.655
MGT,2007-11-14,16.442
MGT,2007-11-15,15.639
MGT,2007-11-16,15.498
MGT,2007-11-20,14.239
MGT,2007-11-21,13.217
MGT,2007-11-22,13.492
MGT,2007-11-23,15.121
MGT,2007-11-26,14.004
MGT,2007-11-27,14.004
MGT,2007-11-28,14.507
MGT,2007-11-29,15.332
MGT,2007-11-30,15.144
MGT,2007-12-04,14.02
MGT,2007-12-05,15.332
MGT,2007-12-06,14.948
MGT,2007-12-07,14.948
MGT,2007-12-10,14.939
MGT,2007-12-11,14.939
MGT,2007-12-12,14.554
MGT,2007-12-13,14.507
MGT,2007-12-14,14.475
MGT,2007-12-17,14.004
MGT,2007-12-18,14.082
MGT,2007-12-19,14.16
MGT,2007-12-20,14.381
MGT,2007-12-21,13.925
MGT,2007-12-27,14.436
MGT,2007-12-28,14.436
MGT,2008-01-03,14.16
MGT,2008-01-07,14.397
MGT,2008-01-08,13.846
MGT,2008-01-09,13.76
MGT,2008-01-10,13.178
MGT,2008-01-11,13.217
MGT,2008-01-14,12.745
MGT,2008-01-15,12.745
MGT,2008-01-16,13.768
MGT,2008-01-17,13.768
MGT,2008-01-18,12.666
MGT,2008-01-21,13.728
MGT,2008-01-22,13.295
MGT,2008-01-23,13.374
MGT,2008-01-24,12.745
MGT,2008-01-25,12.98
MGT,2008-01-29,13.768
MGT,2008-02-04,13.768
MGT,2008-02-06,13.649
MGT,2008-02-07,13.649
MGT,2008-02-08,13.61
MGT,2008-02-11,13.689
MGT,2008-02-12,13.689
MGT,2008-02-13,13.689
MGT,2008-02-14,13.689
MGT,2008-02-15,15.026
MGT,2008-02-18,14.986
MGT,2008-02-19,14.554
MGT,2008-02-20,14.46
MGT,2008-02-21,14.317
MGT,2008-02-22,14.16
MGT,2008-02-25,14.16
MGT,2008-02-26,14.711
MGT,2008-02-27,14.16
MGT,2008-02-28,14.16
MGT,2008-02-29,13.61
MGT,2008-03-03,13.532
MGT,2008-03-05,13.374
MGT,2008-03-07,13.532
MGT,2008-03-10,13.532
MGT,2008-03-12,12.587
MGT,2008-03-13,14.042
MGT,2008-03-14,14.051
MGT,2008-03-17,13.768
MGT,2008-03-18,13.768
MGT,2008-03-20,13.374
MGT,2008-03-25,13.374
MGT,2008-03-26,13.413
MGT,2008-03-27,13.532
MGT,2008-03-28,13.532
MGT,2008-03-31,13.532
MGT,2008-04-01,13.532
MGT,2008-04-02,13.532
MGT,2008-04-03,13.178
MGT,2008-04-04,13.178
MGT,2008-04-07,13.217
MGT,2008-04-08,12.683
MGT,2008-04-09,13.295
MGT,2008-04-10,14.004
MGT,2008-04-11,13.138
MGT,2008-04-15,13.374
MGT,2008-04-16,12.745
MGT,2008-04-17,13.138
MGT,2008-04-18,13.059
MGT,2008-04-21,12.745
MGT,2008-04-22,12.973
MGT,2008-04-23,12.98
MGT,2008-04-24,13.532
MGT,2008-04-25,13.138
MGT,2008-04-28,12.98
MGT,2008-04-29,13.76
MGT,2008-04-30,12.783
MGT,2008-05-05,13.76
MGT,2008-05-06,13.154
MGT,2008-05-07,13.68
MGT,2008-05-09,13.532
MGT,2008-05-12,13.374
MGT,2008-05-13,12.611
MGT,2008-05-14,12.587
MGT,2008-05-15,12.587
MGT,2008-05-16,12.28
MGT,2008-05-19,12.666
MGT,2008-05-20,12.194
MGT,2008-05-21,12.509
MGT,2008-05-23,11.801
MGT,2008-05-26,12.194
MGT,2008-05-27,12.469
MGT,2008-05-29,12.509
MGT,2008-05-30,11.88
MGT,2008-06-02,11.533
MGT,2008-06-03,11.793
MGT,2008-06-04,12.351
MGT,2008-06-05,11.407
MGT,2008-06-06,11.958
MGT,2008-06-09,11.407
MGT,2008-06-10,11.015
MGT,2008-06-11,11.368
MGT,2008-06-12,11.368
MGT,2008-06-13,11.25
MGT,2008-06-16,11.604
MGT,2008-06-18,11.627
MGT,2008-06-19,10.935
MGT,2008-06-20,10.384
MGT,2008-06-23,10.188
MGT,2008-06-24,9.2827
MGT,2008-06-25,9.441
MGT,2008-06-26,10.031
MGT,2008-06-27,9.677
MGT,2008-06-30,10.211
MGT,2008-07-01,10.211
MGT,2008-07-02,9.441
MGT,2008-07-03,9.0546
MGT,2008-07-04,9.504
MGT,2008-07-07,8.4255
MGT,2008-07-08,9.4005
MGT,2008-07-09,8.811
MGT,2008-07-10,8.3393
MGT,2008-07-11,8.4408
MGT,2008-07-14,8.3785
MGT,2008-07-15,8.6455
MGT,2008-07-16,8.0245
MGT,2008-07-17,8.2608
MGT,2008-07-18,8.3546
MGT,2008-07-21,8.4971
MGT,2008-07-22,8.544
MGT,2008-07-23,8.544
MGT,2008-07-24,8.5671
MGT,2008-07-29,8.4177
MGT,2008-07-30,8.9529
MGT,2008-07-31,9.3147
MGT,2008-08-01,9.2761
MGT,2008-08-04,8.5756
MGT,2008-08-05,9.0396
MGT,2008-08-06,9.0396
MGT,2008-08-07,9.1969
MGT,2008-08-08,10.856
MGT,2008-08-11,9.629
MGT,2008-08-12,10.393
MGT,2008-08-13,10.164
MGT,2008-08-14,10.227
MGT,2008-08-18,10.778
MGT,2008-08-19,10.574
MGT,2008-08-20,10.558
MGT,2008-08-21,10.384
MGT,2008-08-22,10.368
MGT,2008-08-26,10.227
MGT,2008-08-27,10.227
MGT,2008-08-28,10.227
MGT,2008-08-29,10.368
MGT,2008-09-02,9.637
MGT,2008-09-03,10.109
MGT,2008-09-05,10.109
MGT,2008-09-08,10.109
MGT,2008-09-09,10.133
MGT,2008-09-10,10.266
MGT,2008-09-11,10.117
MGT,2008-09-15,10.117
MGT,2008-09-16,9.834
MGT,2008-09-17,10.227
MGT,2008-09-22,10.141
MGT,2008-09-24,9.991
MGT,2008-09-25,10.053
MGT,2008-09-26,10.053
MGT,2008-09-30,9.441
MGT,2008-10-01,9.983
MGT,2008-10-02,9.4796
MGT,2008-10-03,8.7479
MGT,2008-10-06,8.6541
MGT,2008-10-07,8.9679
MGT,2008-10-08,8.811
MGT,2008-10-09,8.9679
MGT,2008-10-10,7.7099
MGT,2008-10-13,8.2608
MGT,2008-10-14,8.8818
MGT,2008-10-15,8.0245
MGT,2008-10-16,7.946
MGT,2008-10-17,7.4736
MGT,2008-10-20,7.4658
MGT,2008-10-21,7.4736
MGT,2008-10-22,7.4658
MGT,2008-10-23,7.4736
MGT,2008-10-24,7.395
MGT,2008-10-27,7.3006
MGT,2008-10-28,7.2377
MGT,2008-10-29,7.395
MGT,2008-10-30,7.395
MGT,2008-10-31,7.395
MGT,2008-11-03,7.5523
MGT,2008-11-04,8.6541
MGT,2008-11-05,9.0311
MGT,2008-11-06,8.8818
MGT,2008-11-07,8.8033
MGT,2008-11-10,8.8894
MGT,2008-11-12,8.4971
MGT,2008-11-13,8.4177
MGT,2008-11-14,8.8187
MGT,2008-11-17,8.4886
MGT,2008-11-18,8.2608
MGT,2008-11-19,8.3393
MGT,2008-11-20,8.0245
MGT,2008-11-21,8.2608
MGT,2008-11-24,8.2446
MGT,2008-11-25,8.4809
MGT,2008-11-26,8.5278
MGT,2008-11-27,8.4971
MGT,2008-11-28,8.3308
MGT,2008-12-01,8.2608
MGT,2008-12-02,8.3308
MGT,2008-12-03,8.103
MGT,2008-12-04,8.1815
MGT,2008-12-05,8.103
MGT,2008-12-08,7.9299
MGT,2008-12-09,7.8668
MGT,2008-12-10,7.6704
MGT,2008-12-11,7.7099
MGT,2008-12-12,7.4029
MGT,2008-12-15,7.4343
MGT,2008-12-16,7.4736
MGT,2008-12-17,7.3164
MGT,2008-12-18,7.2299
MGT,2008-12-19,7.4029
MGT,2008-12-22,7.4343
MGT,2008-12-23,7.0803
MGT,2008-12-29,7.2299
MGT,2008-12-30,7.4343
MGT,2008-12-31,7.4736
MGT,2009-01-06,7.1512
MGT,2009-01-07,7.0803
MGT,2009-01-08,7.159
MGT,2009-01-09,7.159
