<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
2000-06-30,0.8252,0.8252,0.8252,0.8252
2000-07-03,0.8081,0.8081,0.8081,0.8081
2000-07-04,0.8252,0.8252,0.8252,0.8252
2000-07-05,0.8591,0.8591,0.8591,0.8591
2000-07-06,0.8932,0.8932,0.8932,0.8932
2000-07-07,0.8847,0.8847,0.8847,0.8847
2000-07-10,0.8591,0.8591,0.8591,0.8591
2000-07-11,0.8678,0.8678,0.8678,0.8678
2000-07-12,0.8422,0.8422,0.8422,0.8422
2000-07-13,0.8591,0.8591,0.8591,0.8591
2000-07-14,0.8507,0.8507,0.8507,0.8507
2000-07-17,0.8591,0.8591,0.8591,0.8591
2000-07-18,0.8507,0.8507,0.8507,0.8507
2000-07-19,0.8507,0.8507,0.8507,0.8507
2000-07-20,0.8591,0.8591,0.8591,0.8591
2000-07-21,0.9358,0.9358,0.9358,0.9358
2000-07-24,0.9272,0.9272,0.9272,0.9272
2000-07-25,0.9443,0.9443,0.9443,0.9443
2000-07-26,1.0463,1.0463,1.0463,1.0463
2000-07-27,1.0463,1.0463,1.0463,1.0463
2000-07-28,1.0293,1.0293,1.0293,1.0293
2000-07-31,0.9698,0.9698,0.9698,0.9698
2000-08-01,0.9955,0.9955,0.9955,0.9955
2000-08-02,1.0208,1.0208,1.0208,1.0208
2000-08-03,1.0208,1.0208,1.0208,1.0208
2000-08-04,1.0038,1.0038,1.0038,1.0038
2000-08-07,0.9613,0.9613,0.9613,0.9613
2000-08-08,1.0208,1.0208,1.0208,1.0208
2000-08-09,1.0123,1.0123,1.0123,1.0123
2000-08-10,1.038,1.038,1.038,1.038
2000-08-11,1.0293,1.0293,1.0293,1.0293
2000-08-14,1.0805,1.0805,1.0805,1.0805
2000-08-16,1.191,1.191,1.191,1.191
2000-08-17,1.1738,1.1738,1.1738,1.1738
2000-08-18,1.1994,1.1994,1.1994,1.1994
2000-08-21,1.1738,1.1738,1.1738,1.1738
2000-08-22,1.1569,1.1569,1.1569,1.1569
2000-08-23,1.1398,1.1398,1.1398,1.1398
2000-08-24,1.1232,1.1232,1.1232,1.1232
2000-08-25,1.0889,1.0889,1.0889,1.0889
2000-08-28,1.1398,1.1398,1.1398,1.1398
2000-08-29,1.106,1.106,1.106,1.106
2000-08-30,1.0719,1.0719,1.0719,1.0719
2000-08-31,1.0973,1.0973,1.0973,1.0973
2000-09-01,1.1142,1.1142,1.1142,1.1142
2000-09-04,1.1398,1.1398,1.1398,1.1398
2000-09-05,1.1315,1.1315,1.1315,1.1315
2000-09-06,1.1486,1.1486,1.1486,1.1486
2000-09-07,1.1569,1.1569,1.1569,1.1569
2000-09-08,1.1569,1.1569,1.1569,1.1569
2000-09-11,1.1398,1.1398,1.1398,1.1398
2000-09-12,1.1232,1.1232,1.1232,1.1232
2000-09-13,1.1569,1.1569,1.1569,1.1569
2000-09-14,1.1569,1.1569,1.1569,1.1569
2000-09-15,1.1486,1.1486,1.1486,1.1486
2000-09-18,1.1232,1.1232,1.1232,1.1232
2000-09-19,1.1232,1.1232,1.1232,1.1232
2000-09-20,1.1315,1.1315,1.1315,1.1315
2000-09-21,1.1232,1.1232,1.1232,1.1232
2000-09-22,1.106,1.106,1.106,1.106
2000-09-25,1.1232,1.1232,1.1232,1.1232
2000-09-26,1.1655,1.1655,1.1655,1.1655
2000-09-27,1.1569,1.1569,1.1569,1.1569
2000-09-28,1.1486,1.1486,1.1486,1.1486
2000-09-29,1.1315,1.1315,1.1315,1.1315
2000-10-02,1.1486,1.1486,1.1486,1.1486
2000-10-03,1.1398,1.1398,1.1398,1.1398
2000-10-04,1.1315,1.1315,1.1315,1.1315
2000-10-05,1.1398,1.1398,1.1398,1.1398
2000-10-06,1.1398,1.1398,1.1398,1.1398
2000-10-09,1.1232,1.1232,1.1232,1.1232
2000-10-10,1.106,1.106,1.106,1.106
2000-10-11,1.0634,1.0634,1.0634,1.0634
2000-10-12,0.9868,0.9868,0.9868,0.9868
2000-10-13,0.9698,0.9698,0.9698,0.9698
2000-10-16,0.9868,0.9868,0.9868,0.9868
2000-10-17,1.0038,1.0038,1.0038,1.0038
2000-10-18,0.9868,0.9868,0.9868,0.9868
2000-10-19,0.9868,0.9868,0.9868,0.9868
2000-10-20,1.0123,1.0123,1.0123,1.0123
2000-10-23,1.0634,1.0634,1.0634,1.0634
2000-10-24,1.0889,1.0889,1.0889,1.0889
2000-10-25,1.1142,1.1142,1.1142,1.1142
2000-10-26,1.0548,1.0548,1.0548,1.0548
2000-10-27,1.0719,1.0719,1.0719,1.0719
2000-10-30,1.0634,1.0634,1.0634,1.0634
2000-10-31,1.0548,1.0548,1.0548,1.0548
2000-11-02,1.0548,1.0548,1.0548,1.0548
2000-11-03,1.0719,1.0719,1.0719,1.0719
2000-11-06,1.0719,1.0719,1.0719,1.0719
2000-11-07,1.0548,1.0548,1.0548,1.0548
2000-11-08,1.0293,1.0293,1.0293,1.0293
2000-11-09,1.038,1.038,1.038,1.038
2000-11-10,1.0293,1.0293,1.0293,1.0293
2000-11-13,0.9358,0.9358,0.9358,0.9358
2000-11-14,0.9358,0.9358,0.9358,0.9358
2000-11-15,0.9103,0.9103,0.9103,0.9103
2000-11-16,0.9103,0.9103,0.9103,0.9103
2000-11-17,0.8932,0.9358,0.8932,0.9186
2000-11-20,0.9358,0.9443,0.9272,0.9358
2000-11-21,0.9272,0.9443,0.9272,0.9443
2000-11-22,0.9443,0.9443,0.9103,0.9358
2000-11-23,0.9358,0.9358,0.9186,0.9186
2000-11-24,0.9358,0.9443,0.9186,0.9358
2000-11-27,0.9443,0.9443,0.9272,0.9272
2000-11-28,0.9272,0.9272,0.9103,0.9186
2000-11-29,0.9103,0.9103,0.8932,0.9103
2000-11-30,0.9186,0.9186,0.9017,0.9186
2000-12-01,0.9017,0.9103,0.8932,0.9017
2000-12-04,0.8932,0.8932,0.8932,0.8932
2000-12-05,0.9017,0.9103,0.8678,0.8932
2000-12-06,0.9103,0.9103,0.8763,0.8932
2000-12-07,0.8763,0.8932,0.8763,0.8932
2000-12-08,0.8932,0.8932,0.8763,0.8847
2000-12-11,0.9017,0.9017,0.8763,0.8932
2000-12-12,0.8932,0.8932,0.8763,0.8847
2000-12-13,0.8932,0.8932,0.8763,0.8763
2000-12-14,0.8847,0.8932,0.8847,0.8932
2000-12-15,0.8932,0.8932,0.8763,0.8847
2000-12-18,0.8932,0.9103,0.8847,0.9103
2000-12-19,0.9103,0.9103,0.9017,0.9103
2000-12-20,0.9103,0.9103,0.8932,0.9103
2000-12-21,0.8847,0.9186,0.8847,0.9186
2000-12-22,0.9272,0.9272,0.9017,0.9103
2000-12-27,0.9186,0.9272,0.9186,0.9272
2000-12-28,0.9103,0.9186,0.9103,0.9186
2000-12-29,0.9186,1.0548,0.9103,1.0548
2001-01-02,0.9358,0.9783,0.9358,0.9698
2001-01-03,0.9613,0.9613,0.9186,0.9443
2001-01-04,0.9358,0.9443,0.9272,0.9443
2001-01-05,0.9186,0.9358,0.8932,0.9358
2001-01-08,0.9272,0.9443,0.9186,0.9358
2001-01-09,0.9358,0.9358,0.9272,0.9358
2001-01-10,0.9528,0.9613,0.9443,0.9613
2001-01-11,0.9528,0.9528,0.9358,0.9528
2001-01-12,0.9358,0.9443,0.9358,0.9443
2001-01-15,0.9443,0.9528,0.9443,0.9528
2001-01-16,0.9443,0.9443,0.9358,0.9443
2001-01-17,0.9358,0.9443,0.9103,0.9358
2001-01-18,0.9358,0.9358,0.9017,0.9017
2001-01-19,0.9103,0.9186,0.9017,0.9186
2001-01-22,0.9017,0.9017,0.9017,0.9017
2001-01-23,0.9017,0.9358,0.9017,0.9017
2001-01-24,0.9103,0.9103,0.9017,0.9103
2001-01-25,0.8932,0.9103,0.8932,0.8932
2001-01-26,0.8932,0.9017,0.8763,0.8932
2001-01-29,0.9272,0.9272,0.9103,0.9103
2001-01-30,0.9103,0.9103,0.9103,0.9103
2001-01-31,0.9186,0.9186,0.9103,0.9103
2001-02-01,0.9103,0.9103,0.9017,0.9103
2001-02-02,0.9103,0.9103,0.9103,0.9103
2001-02-05,0.9103,0.9103,0.8678,0.9103
2001-02-06,0.9017,0.9103,0.9017,0.9103
2001-02-07,0.9103,0.9103,0.7741,0.8678
2001-02-08,0.8932,0.9103,0.8678,0.9017
2001-02-09,0.8932,0.8932,0.8932,0.8932
2001-02-12,0.8932,0.8932,0.8591,0.8932
2001-02-13,0.8763,0.8847,0.8678,0.8847
2001-02-14,0.8763,0.8763,0.8678,0.8678
2001-02-15,0.8507,0.8932,0.8507,0.8932
2001-02-16,0.8847,0.8932,0.8507,0.8847
2001-02-19,0.8507,0.8591,0.8507,0.8591
2001-02-20,0.8678,0.8678,0.8336,0.8507
2001-02-21,0.7231,0.8422,0.7231,0.8252
2001-02-22,0.8336,0.8336,0.8167,0.8252
2001-02-23,0.8336,0.8422,0.8252,0.8252
2001-02-26,0.7997,0.8252,0.7997,0.7997
2001-02-27,0.8081,0.8081,0.7997,0.8081
2001-02-28,0.8081,0.8081,0.7911,0.7911
2001-03-01,0.7997,0.8081,0.7911,0.7997
2001-03-02,0.8081,0.8591,0.7997,0.8081
2001-03-05,0.7997,0.8081,0.7997,0.8081
2001-03-06,0.8081,0.8167,0.7997,0.7997
2001-03-07,0.7997,0.7997,0.7911,0.7911
2001-03-08,0.7997,0.7997,0.7911,0.7997
2001-03-09,0.7827,0.7911,0.7572,0.7572
2001-03-12,0.7485,0.7572,0.7315,0.7485
2001-03-13,0.7147,0.7572,0.7147,0.7572
2001-03-14,0.7741,0.7741,0.6721,0.7402
2001-03-15,0.7147,0.7656,0.6976,0.7402
2001-03-16,0.7656,0.7656,0.7147,0.7485
2001-03-19,0.7315,0.7402,0.7315,0.7402
2001-03-20,0.7231,0.7485,0.7231,0.7402
2001-03-21,0.7485,0.7827,0.7485,0.7827
2001-03-22,0.7827,0.7827,0.7741,0.7827
2001-03-23,0.7656,0.7827,0.7656,0.7827
2001-03-26,0.7827,0.7911,0.7741,0.7827
2001-03-27,0.7911,0.7911,0.7827,0.7827
2001-03-28,0.7911,0.7997,0.7911,0.7997
2001-03-29,0.7741,0.7911,0.7741,0.7911
2001-03-30,0.7911,0.7997,0.7827,0.7827
2001-04-02,0.7997,0.7997,0.7997,0.7997
2001-04-03,0.7997,0.7997,0.7997,0.7997
2001-04-04,0.7997,0.8422,0.7997,0.8167
2001-04-05,0.7997,0.8167,0.7911,0.8167
2001-04-06,0.8252,0.8252,0.8252,0.8252
2001-04-09,0.8167,0.8336,0.8167,0.8252
2001-04-10,0.8507,0.8847,0.8422,0.8763
2001-04-11,0.8763,0.9103,0.8763,0.9017
2001-04-12,0.9186,0.9186,0.9103,0.9103
2001-04-17,0.9272,0.9272,0.9103,0.9103
2001-04-18,0.9186,0.9528,0.9186,0.9443
2001-04-19,0.9443,0.9698,0.9443,0.9613
2001-04-20,0.9272,0.9528,0.9272,0.9528
2001-04-23,0.9528,0.9613,0.9528,0.9613
2001-04-24,0.9528,0.9613,0.9528,0.9528
2001-04-25,0.9443,0.9613,0.9272,0.9613
2001-04-26,0.9613,0.9698,0.9613,0.9613
2001-04-27,0.9613,0.9783,0.9613,0.9783
2001-04-30,0.9783,0.9783,0.9783,0.9783
2001-05-02,0.9783,0.9868,0.9698,0.9868
2001-05-04,0.9783,0.9868,0.9613,0.9613
2001-05-07,0.9613,0.9868,0.9443,0.9443
2001-05-08,0.9017,0.9358,0.9017,0.9103
2001-05-09,0.9103,0.9103,0.8932,0.8932
2001-05-10,0.8932,0.8932,0.8847,0.8847
2001-05-11,0.9272,0.9272,0.8932,0.9103
2001-05-14,0.9103,0.9103,0.8847,0.8847
2001-05-15,0.9103,0.9103,0.9103,0.9103
2001-05-16,0.8932,0.8932,0.8847,0.8847
2001-05-17,0.9017,0.9017,0.8591,0.8932
2001-05-18,0.8932,0.8932,0.8932,0.8932
2001-05-21,0.8932,0.8932,0.8932,0.8932
2001-05-22,0.9103,0.9103,0.8847,0.8847
2001-05-24,0.8932,0.8932,0.8932,0.8932
2001-05-25,0.9017,0.9017,0.8591,0.8932
2001-05-28,0.8763,0.8847,0.8591,0.8591
2001-05-29,0.8507,0.8507,0.8422,0.8422
2001-05-30,0.8507,0.8591,0.8252,0.8507
2001-05-31,0.8422,0.8507,0.8422,0.8507
2001-06-01,0.8336,0.8336,0.8081,0.8336
2001-06-04,0.8336,0.8336,0.8252,0.8252
2001-06-05,0.8678,0.8678,0.8167,0.8422
2001-06-06,0.8422,0.8422,0.8422,0.8422
2001-06-07,0.8336,0.8422,0.8336,0.8422
2001-06-08,0.8507,0.8507,0.8336,0.8336
2001-06-11,0.8252,0.8252,0.8252,0.8252
2001-06-12,0.8252,0.8252,0.8252,0.8252
2001-06-15,0.8252,0.8252,0.8252,0.8252
2001-06-18,0.8167,0.8252,0.7997,0.7997
2001-06-19,0.7911,0.7911,0.7911,0.7911
2001-06-20,0.7911,0.8081,0.7827,0.8081
2001-06-21,0.8167,0.8167,0.7911,0.7911
2001-06-22,0.7997,0.8252,0.7997,0.8252
2001-06-25,0.8252,0.8336,0.8081,0.8167
2001-06-26,0.8252,0.8336,0.8167,0.8167
2001-06-27,0.7997,0.7997,0.7911,0.7911
2001-06-29,0.7997,0.7997,0.7827,0.7827
2001-07-02,0.7656,0.7741,0.7656,0.7741
2001-07-03,0.7741,0.7741,0.7741,0.7741
2001-07-04,0.7485,0.7741,0.7485,0.7741
2001-07-05,0.7485,0.7572,0.7231,0.7572
2001-07-06,0.7402,0.7402,0.7402,0.7402
2001-07-09,0.7485,0.7572,0.7062,0.7315
2001-07-10,0.7231,0.7231,0.7062,0.7231
2001-07-11,0.7231,0.7231,0.6891,0.6976
2001-07-12,0.7062,0.7062,0.7062,0.7062
2001-07-13,0.7315,0.7315,0.6635,0.6721
2001-07-16,0.6976,0.7485,0.6805,0.7485
2001-07-17,0.7315,0.7315,0.7231,0.7231
2001-07-18,0.7062,0.7062,0.6976,0.7062
2001-07-19,0.6721,0.6891,0.6721,0.6891
2001-07-20,0.7741,0.7741,0.6891,0.7147
2001-07-23,0.6805,0.6976,0.6721,0.6721
2001-07-24,0.6891,0.6891,0.6721,0.6721
2001-07-25,0.6721,0.6805,0.6721,0.6805
2001-07-26,0.6805,0.6805,0.6635,0.6805
2001-07-27,0.6721,0.6891,0.6721,0.6891
2001-07-30,0.6721,0.6721,0.6721,0.6721
2001-07-31,0.6721,0.6721,0.6635,0.6721
2001-08-01,0.6635,0.6635,0.6635,0.6635
2001-08-02,0.6635,0.6721,0.6635,0.6721
2001-08-03,0.6721,0.6721,0.6721,0.6721
2001-08-06,0.6721,0.6805,0.6721,0.6805
2001-08-07,0.6721,0.6721,0.6721,0.6721
2001-08-08,0.6635,0.6635,0.6551,0.6635
2001-08-09,0.6635,0.6635,0.6551,0.6551
2001-08-10,0.6551,0.6551,0.6381,0.6381
2001-08-13,0.6381,0.6381,0.6381,0.6381
2001-08-14,0.6464,0.6464,0.6464,0.6464
2001-08-16,0.6381,0.6381,0.6295,0.6381
2001-08-17,0.6295,0.6295,0.6295,0.6295
2001-08-20,0.6211,0.6295,0.6211,0.6211
2001-08-21,0.6125,0.6125,0.587,0.6125
2001-08-22,0.604,0.6125,0.604,0.6125
2001-08-23,0.604,0.6125,0.604,0.604
2001-08-24,0.6295,0.6295,0.604,0.6125
2001-08-27,0.6295,0.6295,0.6295,0.6295
2001-08-28,0.6295,0.6295,0.6295,0.6295
2001-08-29,0.6295,0.6381,0.6295,0.6381
2001-08-30,0.6295,0.6551,0.6295,0.6551
2001-08-31,0.6464,0.6551,0.6381,0.6551
2001-09-03,0.6635,0.6635,0.6381,0.6635
2001-09-04,0.6464,0.6464,0.6381,0.6381
2001-09-05,0.6381,0.6551,0.6295,0.6551
2001-09-06,0.6551,0.6551,0.6551,0.6551
2001-09-07,0.6295,0.6635,0.6295,0.6635
2001-09-10,0.6551,0.6551,0.6464,0.6551
2001-09-11,0.6464,0.6805,0.6464,0.6805
2001-09-12,0.6211,0.6464,0.6125,0.6464
2001-09-13,0.6381,0.6464,0.6381,0.6464
2001-09-14,0.6295,0.6551,0.6295,0.6551
2001-09-17,0.6295,0.6295,0.6125,0.6295
2001-09-18,0.6211,0.6381,0.6211,0.6381
2001-09-19,0.6295,0.6295,0.6295,0.6295
2001-09-20,0.6125,0.6125,0.587,0.587
2001-09-21,0.5955,0.6125,0.587,0.6125
2001-09-24,0.5955,0.6125,0.5955,0.6125
2001-09-25,0.604,0.604,0.604,0.604
2001-09-26,0.5955,0.604,0.5955,0.604
2001-09-27,0.587,0.5955,0.536,0.5955
2001-09-28,0.604,0.604,0.5784,0.5784
2001-10-01,0.604,0.604,0.604,0.604
2001-10-02,0.5955,0.5955,0.5955,0.5955
2001-10-03,0.604,0.604,0.604,0.604
2001-10-04,0.587,0.604,0.587,0.604
2001-10-05,0.5955,0.5955,0.5955,0.5955
2001-10-08,0.587,0.5955,0.587,0.5955
2001-10-09,0.5955,0.5955,0.5955,0.5955
2001-10-10,0.5955,0.6211,0.5955,0.5955
2001-10-11,0.604,0.6125,0.5955,0.604
2001-10-12,0.5955,0.5955,0.5955,0.5955
2001-10-15,0.5955,0.5955,0.587,0.587
2001-10-16,0.587,0.5955,0.587,0.5955
2001-10-17,0.5784,0.587,0.553,0.57
2001-10-18,0.536,0.5613,0.536,0.536
2001-10-19,0.553,0.587,0.553,0.587
2001-10-22,0.5784,0.587,0.5784,0.587
2001-10-23,0.604,0.6721,0.604,0.6464
2001-10-24,0.6464,0.6551,0.6381,0.6464
2001-10-25,0.6464,0.6891,0.6464,0.6635
2001-10-26,0.6295,0.7147,0.6295,0.7147
2001-10-29,0.6976,0.7315,0.6805,0.6805
2001-10-30,0.6635,0.7402,0.6635,0.7402
2001-10-31,0.6891,0.7231,0.6721,0.7231
2001-11-02,0.7147,0.7402,0.6891,0.7402
2001-11-05,0.7315,0.7402,0.6976,0.7147
2001-11-06,0.6891,0.7062,0.6635,0.6721
2001-11-07,0.6805,0.7147,0.6635,0.6721
2001-11-08,0.6721,0.6805,0.6551,0.6721
2001-11-09,0.6721,0.6721,0.6635,0.6635
2001-11-12,0.6721,0.6721,0.6464,0.6635
2001-11-13,0.6551,0.6635,0.6381,0.6635
2001-11-14,0.6635,0.6721,0.6551,0.6635
2001-11-15,0.6635,0.6721,0.6551,0.6721
2001-11-16,0.6635,0.6721,0.6464,0.6721
2001-11-19,0.6721,0.6805,0.6381,0.6464
2001-11-20,0.6635,0.6635,0.6551,0.6635
2001-11-21,0.6464,0.6551,0.6381,0.6381
2001-11-22,0.6551,0.6551,0.6464,0.6464
2001-11-23,0.6381,0.6551,0.6211,0.6464
2001-11-26,0.6464,0.6464,0.6125,0.6381
2001-11-27,0.6211,0.6464,0.6125,0.6295
2001-11-28,0.6211,0.6295,0.6211,0.6295
2001-11-29,0.6211,0.6211,0.6125,0.6125
2001-11-30,0.6125,0.6551,0.6125,0.6211
2001-12-03,0.6211,0.6381,0.5955,0.5955
2001-12-04,0.604,0.6125,0.587,0.604
2001-12-05,0.6125,0.6125,0.5784,0.6125
2001-12-06,0.604,0.6125,0.5955,0.5955
2001-12-07,0.5955,0.6125,0.5955,0.6125
2001-12-10,0.604,0.6125,0.587,0.587
2001-12-11,0.604,0.604,0.57,0.5784
2001-12-12,0.587,0.604,0.5784,0.5784
2001-12-13,0.5955,0.5955,0.587,0.587
2001-12-14,0.587,0.5955,0.587,0.5955
2001-12-17,0.5955,0.604,0.587,0.604
2001-12-18,0.587,0.5955,0.5784,0.5955
2001-12-19,0.5955,0.604,0.5784,0.604
2001-12-20,0.5955,0.604,0.587,0.604
2001-12-21,0.604,0.604,0.5955,0.604
2001-12-27,0.5955,0.604,0.57,0.5784
2001-12-28,0.5784,0.587,0.57,0.587
2001-12-31,0.5784,0.587,0.57,0.587
2002-01-02,0.5955,0.5955,0.587,0.5955
2002-01-03,0.5955,0.5955,0.5784,0.5955
2002-01-04,0.5955,0.5955,0.5955,0.5955
2002-01-07,0.604,0.6125,0.587,0.6125
2002-01-08,0.6125,0.6381,0.6125,0.6211
2002-01-09,0.6125,0.6381,0.6125,0.6295
2002-01-10,0.6464,0.6464,0.6125,0.6211
2002-01-11,0.6211,0.6381,0.6125,0.6211
2002-01-14,0.6295,0.6295,0.6125,0.6295
2002-01-15,0.6211,0.6295,0.6125,0.6125
2002-01-16,0.6295,0.6295,0.6125,0.6125
2002-01-17,0.6211,0.6295,0.6125,0.6295
2002-01-18,0.6295,0.6295,0.6211,0.6211
2002-01-21,0.6211,0.6211,0.6211,0.6211
2002-01-22,0.6125,0.6295,0.6125,0.6211
2002-01-23,0.6211,0.6211,0.604,0.6211
2002-01-24,0.6125,0.6125,0.6125,0.6125
2002-01-25,0.6125,0.6125,0.604,0.6125
2002-01-28,0.604,0.6125,0.604,0.6125
2002-01-29,0.6125,0.6211,0.6125,0.6211
2002-01-30,0.6211,0.6211,0.587,0.604
2002-01-31,0.5955,0.604,0.5955,0.604
2002-02-01,0.5955,0.604,0.5784,0.604
2002-02-05,0.587,0.587,0.587,0.587
2002-02-06,0.5955,0.604,0.587,0.604
2002-02-07,0.5955,0.604,0.5955,0.604
2002-02-08,0.587,0.5955,0.5784,0.5955
2002-02-11,0.604,0.604,0.604,0.604
2002-02-12,0.587,0.587,0.587,0.587
2002-02-13,0.587,0.604,0.587,0.604
2002-02-14,0.604,0.6295,0.5955,0.6211
2002-02-15,0.604,0.604,0.604,0.604
2002-02-18,0.5955,0.604,0.587,0.604
2002-02-19,0.5784,0.604,0.5784,0.604
2002-02-20,0.587,0.604,0.587,0.604
2002-02-21,0.587,0.5955,0.5784,0.5955
2002-02-22,0.5955,0.5955,0.5955,0.5955
2002-02-25,0.5955,0.5955,0.5955,0.5955
2002-02-26,0.5955,0.5955,0.587,0.5955
2002-02-27,0.5784,0.5955,0.5784,0.5955
2002-02-28,0.587,0.5955,0.5784,0.5955
2002-03-01,0.587,0.587,0.587,0.587
2002-03-04,0.5784,0.587,0.5784,0.587
2002-03-05,0.587,0.5955,0.587,0.5955
2002-03-06,0.5955,0.5955,0.5784,0.587
2002-03-07,0.5955,0.5955,0.5784,0.587
2002-03-08,0.5784,0.587,0.5784,0.587
2002-03-11,0.5784,0.5955,0.5784,0.587
2002-03-12,0.5784,0.5955,0.5784,0.5784
2002-03-13,0.5784,0.5784,0.5784,0.5784
2002-03-14,0.5784,0.5955,0.5784,0.5955
2002-03-15,0.587,0.5955,0.587,0.5955
2002-03-18,0.587,0.5955,0.587,0.5955
2002-03-19,0.5784,0.5955,0.57,0.5955
2002-03-20,0.587,0.587,0.587,0.587
2002-03-21,0.5784,0.587,0.5784,0.587
2002-03-22,0.587,0.587,0.5784,0.587
2002-03-25,0.5784,0.587,0.57,0.587
2002-03-26,0.5784,0.587,0.5784,0.587
2002-03-27,0.587,0.587,0.5784,0.587
2002-03-28,0.587,0.587,0.587,0.587
2002-04-02,0.587,0.587,0.587,0.587
2002-04-03,0.587,0.5955,0.587,0.587
2002-04-04,0.587,0.5955,0.587,0.5955
2002-04-05,0.57,0.587,0.57,0.587
2002-04-08,0.587,0.5955,0.587,0.5955
2002-04-09,0.5955,0.6125,0.5955,0.604
2002-04-10,0.6125,0.6125,0.604,0.6125
2002-04-11,0.604,0.6125,0.5955,0.604
2002-04-12,0.604,0.6125,0.604,0.6125
2002-04-15,0.6125,0.6211,0.6125,0.6211
2002-04-16,0.6125,0.6125,0.6125,0.6125
2002-04-17,0.6125,0.6464,0.6125,0.6211
2002-04-18,0.6125,0.6211,0.604,0.6211
2002-04-19,0.6211,0.6295,0.6211,0.6295
2002-04-22,0.6211,0.6295,0.604,0.6211
2002-04-23,0.6211,0.6211,0.5955,0.6211
2002-04-24,0.6211,0.6211,0.604,0.6211
2002-04-25,0.6211,0.6211,0.6211,0.6211
2002-04-26,0.6125,0.6125,0.6125,0.6125
2002-04-29,0.6211,0.6551,0.6125,0.6551
2002-04-30,0.6464,0.6464,0.6381,0.6464
2002-05-02,0.6464,0.6464,0.6464,0.6464
2002-05-06,0.6464,0.6721,0.6464,0.6464
2002-05-07,0.6635,0.6635,0.6464,0.6635
2002-05-08,0.6635,0.6635,0.6381,0.6551
2002-05-09,0.6551,0.6635,0.6551,0.6635
2002-05-10,0.6551,0.6635,0.6464,0.6635
2002-05-13,0.6551,0.6551,0.6464,0.6551
2002-05-14,0.6551,0.6551,0.6464,0.6551
2002-05-15,0.6551,0.6635,0.6551,0.6635
2002-05-16,0.6551,0.6551,0.6211,0.6464
2002-05-17,0.6381,0.6551,0.6295,0.6464
2002-05-20,0.6464,0.6551,0.6464,0.6551
2002-05-21,0.6464,0.6551,0.6464,0.6551
2002-05-22,0.6464,0.6551,0.6464,0.6464
2002-05-23,0.6464,0.6551,0.6464,0.6551
2002-05-24,0.6464,0.6551,0.6464,0.6551
2002-05-27,0.6551,0.6551,0.6464,0.6551
2002-05-28,0.6551,0.6721,0.6551,0.6721
2002-05-29,0.6635,0.6721,0.6551,0.6635
2002-05-31,0.6551,0.6721,0.6551,0.6721
2002-06-03,0.6635,0.6635,0.6635,0.6635
2002-06-04,0.6635,0.6721,0.6551,0.6721
2002-06-05,0.6721,0.6721,0.6721,0.6721
2002-06-06,0.6721,0.6721,0.6721,0.6721
2002-06-07,0.6721,0.6721,0.6635,0.6721
